iter	Passed	Remaining
0	145	145171
1	148	74047
2	151	50308
3	154	38359
4	157	31262
5	160	26550
6	163	23166
7	166	20628
8	169	18650
9	172	17066
10	175	15772
11	178	14680
12	181	13773
13	184	12994
14	187	12324
15	190	11726
16	193	11204
17	196	10736
18	199	10322
19	203	9949
20	206	9610
21	209	9300
22	212	9016
23	215	8755
24	218	8515
25	221	8298
26	224	8092
27	227	7903
28	230	7725
29	233	7559
30	236	7405
31	240	7263
32	243	7125
33	246	6994
34	249	6877
35	252	6750
36	255	6645
37	258	6542
38	261	6443
39	264	6349
40	267	6261
41	270	6175
42	273	6093
43	276	6016
44	279	5941
45	283	5872
46	286	5803
47	289	5739
48	292	5678
49	295	5617
50	298	5549
51	301	5491
52	304	5437
53	307	5383
54	310	5334
55	313	5285
56	316	5238
57	319	5191
58	322	5147
59	325	5105
60	329	5065
61	332	5024
62	335	4985
63	338	4946
64	341	4910
65	344	4877
66	347	4841
67	350	4807
68	353	4772
69	356	4742
70	359	4710
71	363	4679
72	366	4649
73	369	4620
74	372	4591
75	375	4564
76	378	4537
77	381	4509
78	384	4484
79	387	4458
80	390	4434
81	393	4409
82	397	4386
83	400	4362
84	403	4340
85	406	4318
86	409	4296
87	412	4275
88	415	4253
89	418	4233
90	421	4212
91	424	4192
92	427	4172
93	430	4153
94	433	4134
95	437	4115
96	440	4097
97	443	4080
98	446	4062
99	449	4044
100	452	4027
101	455	4011
102	458	3995
103	461	3978
104	464	3963
105	468	3948
106	471	3933
107	474	3918
108	477	3903
109	480	3888
110	483	3873
111	486	3860
112	490	3846
113	493	3837
114	497	3824
115	500	3813
116	503	3800
117	506	3788
118	510	3776
119	513	3764
120	516	3752
121	519	3740
122	522	3728
123	526	3719
124	529	3709
125	533	3698
126	535	3681
127	538	3670
128	542	3659
129	545	3648
130	548	3637
131	551	3625
132	554	3615
133	557	3604
134	561	3595
135	564	3584
136	567	3574
137	570	3563
138	573	3552
139	576	3541
140	579	3531
141	582	3520
142	585	3510
143	588	3501
144	591	3486
145	594	3476
146	597	3466
147	600	3456
148	603	3447
149	606	3438
150	609	3428
151	613	3420
152	616	3411
153	619	3402
154	622	3393
155	625	3384
156	628	3375
157	631	3366
158	635	3358
159	638	3350
160	641	3341
161	644	3333
162	647	3324
163	650	3316
164	653	3307
165	656	3299
166	659	3290
167	662	3282
168	666	3275
169	670	3271
170	673	3262
171	676	3255
172	679	3247
173	682	3240
174	685	3232
175	688	3224
176	691	3216
177	695	3209
178	698	3203
179	701	3196
180	704	3188
181	707	3181
182	710	3174
183	714	3166
184	717	3159
185	720	3152
186	723	3146
187	726	3138
188	729	3132
189	733	3125
190	736	3118
191	739	3111
192	742	3104
193	745	3098
194	748	3091
195	752	3085
196	755	3077
197	758	3071
198	761	3065
199	764	3058
200	767	3051
201	771	3046
202	774	3040
203	777	3035
204	780	3028
205	784	3022
206	787	3015
207	789	3007
208	793	3001
209	796	2994
210	799	2988
211	802	2982
212	805	2976
213	808	2971
214	812	2965
215	815	2960
216	818	2954
217	821	2948
218	825	2943
219	828	2937
220	831	2931
221	834	2925
222	838	2920
223	841	2915
224	844	2909
225	847	2903
226	850	2897
227	854	2891
228	857	2886
229	860	2880
230	863	2875
231	867	2870
232	870	2865
233	873	2858
234	876	2853
235	879	2848
236	882	2842
237	886	2837
238	889	2832
239	892	2827
240	896	2821
241	899	2816
242	902	2811
243	905	2806
244	909	2801
245	912	2796
246	915	2790
247	918	2786
248	922	2782
249	925	2777
250	928	2771
251	931	2766
252	935	2761
253	938	2756
254	941	2751
255	945	2746
256	948	2741
257	951	2737
258	955	2732
259	958	2727
260	965	2733
261	968	2729
262	972	2724
263	975	2719
264	979	2716
265	982	2712
266	988	2712
267	993	2712
268	996	2708
269	999	2703
270	1003	2698
271	1006	2694
272	1009	2689
273	1013	2684
274	1016	2679
275	1021	2678
276	1023	2670
277	1026	2665
278	1029	2660
279	1032	2655
280	1035	2650
281	1039	2645
282	1041	2639
283	1043	2631
284	1045	2622
285	1048	2617
286	1051	2612
287	1054	2607
288	1058	2602
289	1061	2597
290	1064	2592
291	1067	2588
292	1070	2583
293	1073	2578
294	1076	2573
295	1079	2567
296	1083	2563
297	1086	2558
298	1089	2554
299	1092	2549
300	1095	2544
301	1098	2539
302	1102	2535
303	1105	2529
304	1108	2525
305	1111	2520
306	1114	2515
307	1117	2510
308	1120	2505
309	1123	2501
310	1127	2497
311	1130	2493
312	1133	2488
313	1137	2484
314	1140	2479
315	1143	2475
316	1146	2471
317	1150	2466
318	1152	2460
319	1155	2455
320	1158	2450
321	1161	2445
322	1164	2441
323	1167	2436
324	1170	2431
325	1174	2427
326	1177	2422
327	1180	2418
328	1182	2411
329	1184	2405
330	1188	2401
331	1191	2396
332	1194	2391
333	1197	2387
334	1200	2383
335	1203	2378
336	1206	2374
337	1209	2369
338	1212	2364
339	1216	2360
340	1219	2356
341	1222	2351
342	1225	2347
343	1228	2342
344	1231	2338
345	1234	2333
346	1237	2329
347	1241	2325
348	1244	2320
349	1247	2316
350	1250	2311
351	1253	2307
352	1256	2302
353	1259	2298
354	1262	2293
355	1264	2287
356	1267	2283
357	1270	2278
358	1273	2274
359	1276	2270
360	1279	2265
361	1283	2261
362	1286	2257
363	1289	2252
364	1292	2248
365	1295	2243
366	1298	2239
367	1300	2233
368	1303	2229
369	1306	2225
370	1309	2220
371	1313	2216
372	1316	2212
373	1319	2207
374	1322	2203
375	1325	2199
376	1328	2195
377	1331	2191
378	1334	2187
379	1337	2182
380	1340	2178
381	1344	2174
382	1347	2170
383	1350	2166
384	1353	2162
385	1356	2157
386	1359	2153
387	1362	2149
388	1365	2145
389	1368	2141
390	1371	2136
391	1375	2132
392	1378	2128
393	1381	2124
394	1384	2120
395	1387	2116
396	1390	2112
397	1393	2108
398	1396	2104
399	1400	2100
400	1403	2095
401	1406	2092
402	1409	2088
403	1412	2084
404	1416	2080
405	1419	2076
406	1422	2072
407	1425	2068
408	1429	2064
409	1432	2060
410	1435	2057
411	1438	2053
412	1441	2049
413	1444	2045
414	1447	2041
415	1450	2036
416	1454	2032
417	1457	2028
418	1460	2024
419	1463	2020
420	1466	2016
421	1469	2012
422	1472	2008
423	1475	2004
424	1478	2000
425	1481	1996
426	1485	1992
427	1488	1988
428	1491	1984
429	1494	1980
430	1497	1976
431	1500	1972
432	1503	1968
433	1506	1964
434	1509	1960
435	1512	1956
436	1515	1952
437	1518	1948
438	1521	1944
439	1525	1940
440	1528	1937
441	1531	1933
442	1534	1929
443	1537	1925
444	1540	1921
445	1543	1917
446	1546	1913
447	1549	1909
448	1552	1905
449	1556	1901
450	1559	1898
451	1562	1894
452	1565	1890
453	1569	1886
454	1572	1883
455	1575	1879
456	1579	1876
457	1582	1872
458	1585	1868
459	1589	1865
460	1592	1861
461	1595	1858
462	1598	1854
463	1602	1850
464	1605	1847
465	1608	1843
466	1612	1840
467	1615	1836
468	1619	1833
469	1622	1830
470	1626	1826
471	1629	1823
472	1633	1819
473	1636	1815
474	1639	1812
475	1642	1808
476	1645	1804
477	1649	1800
478	1652	1797
479	1655	1793
480	1658	1789
